LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,target,BILL_AMT_MEAN,BILL_AMT_TREND,BILL_AMT_MAX,PAY_AMT_MEAN,PAY_RATIO
20000,2,2,1,24,2,2,-1,-1,-2,-2,1,1284.0,3913,3913,114.83333333333333,0.08943406022845275
120000,2,2,2,26,-1,2,0,0,0,2,1,2846.1666666666665,-579,3455,833.3333333333334,0.2927914739122797
90000,2,2,2,34,0,0,0,0,0,0,0,16942.166666666668,13690,29239,1836.3333333333333,0.10838834072776996
50000,2,2,1,37,0,0,0,0,0,0,0,38555.666666666664,17443,49291,1398.0,0.03625926150068732
50000,1,2,1,57,-1,0,-1,0,0,0,0,18223.166666666668,-10514,35835,9841.5,0.5400543264525923
50000,1,1,2,37,0,0,0,0,0,0,0,39685.666666666664,44376,64400,1295.3333333333333,0.032639827981555056
500000,1,1,2,29,0,0,0,0,0,0,0,454099.1666666667,-105979,542653,30126.5,0.06634343819907179
100000,2,2,2,23,0,-1,-1,0,0,-1,0,2247.6666666666665,11309,11876,798.5,0.3552573038706807
140000,2,3,1,28,0,0,2,0,0,0,0,10868.666666666666,7566,14096,1126.8333333333333,0.10367723731828497
20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,4486.5,-13912,13912,2354.8333333333335,0.5248709090233664
200000,2,3,2,34,0,0,2,0,0,-1,0,5744.5,7342,11073,1078.6666666666667,0.187773812632373
260000,2,1,2,51,-1,-1,-1,-1,-1,2,0,14728.166666666666,-1407,22287,11051.333333333334,0.7503536307981307
630000,2,2,2,41,-1,0,-1,-1,-1,-1,0,6834.5,9267,12137,3895.0,0.5699026995391031
70000,1,2,2,30,1,2,2,0,0,2,1,56447.5,28908,67369,1783.3333333333333,0.03159277795001255
250000,1,1,2,29,0,0,0,0,0,0,0,62265.166666666664,15375,70887,3000.0,0.04818103219831313
50000,2,3,3,23,1,2,0,0,0,0,0,32736.0,20403,50614,1033.3333333333333,0.03156565656565656
20000,1,1,2,24,0,0,2,2,2,2,1,17693.5,-3728,19104,1058.3333333333333,0.059814809581673116
320000,1,1,1,49,0,0,0,-1,-1,-1,0,161002.33333333334,57687,253286,60316.166666666664,0.37462914616144277
360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0.0,0,0,0.0,0.0
180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0.0,0,0,0.0,0.0
130000,2,3,2,39,0,0,0,0,0,-1,0,20647.166666666668,37428,38358,7038.5,0.3408942308468474
120000,2,2,1,39,-1,-1,-1,-1,-1,-1,1,316.0,0,632,263.3333333333333,0.8333333333333333
70000,2,2,2,26,2,0,0,2,2,2,1,44245.833333333336,-4925,46905,1835.0,0.04147283171673415
450000,2,1,1,40,-2,-2,-2,-2,-2,-2,1,4494.166666666667,5512,19420,3764.8333333333335,0.8377155572037827
90000,1,1,2,23,0,0,0,-1,0,0,0,5310.666666666667,-3548,8292,2733.3333333333335,0.5146874215415516
50000,1,3,2,23,0,0,0,0,0,0,0,35715.833333333336,17574,47620,1315.1666666666667,0.036823071000256655
60000,1,1,2,27,1,-2,-1,-1,-1,-1,1,-65.66666666666667,80,259,416.6666666666667,0.0
50000,2,3,2,30,0,0,0,0,0,0,0,18711.333333333332,2924,22541,1185.3333333333333,0.06334841628959276
50000,2,3,1,47,-1,-1,-1,-1,-1,-1,0,6701.333333333333,393,30430,6594.5,0.984057898925587
50000,1,1,2,26,0,0,0,0,0,0,0,16180.333333333334,3929,18375,1100.0,0.06798376630065306
230000,2,1,2,27,-1,-1,-1,-1,-1,-1,0,18957.666666666668,-20277,36923,16248.166666666666,0.8570762927927135
50000,1,2,2,33,2,0,0,0,0,0,1,25311.5,6838,30518,1155.6666666666667,0.045657770841975656
100000,1,1,2,32,0,0,0,0,0,0,0,82539.5,17447,93036,3124.0,0.037848545241975055
500000,2,2,1,54,-2,-2,-2,-2,-2,-2,0,20957.333333333332,1948,71439,26417.0,1.2605134240997584
500000,1,1,1,58,-2,-2,-2,-2,-2,-2,0,9719.666666666666,8416,31130,7570.833333333333,0.7789190301450667
160000,1,1,2,30,-1,-1,-2,-2,-2,-1,0,4218.666666666667,32149,30265,380.0,0.09007585335018962
280000,1,2,1,40,0,0,0,0,0,0,0,178329.5,9090,186503,6987.166666666667,0.03918121604483087
60000,2,2,2,22,0,0,0,0,0,-1,0,5379.833333333333,-3606,18660,8891.5,1.6527463676074228
50000,1,1,2,25,1,-1,-1,-2,-2,-2,1,130.0,0,780,130.0,1.0
280000,1,1,2,31,-1,-1,2,-1,0,-1,0,8607.166666666666,-8979,17976,6226.166666666667,0.7233700598338595
360000,1,1,2,33,0,0,0,0,0,0,0,275125.1666666667,39444,628699,40640.0,0.14771458566434306
70000,2,1,2,25,0,0,0,0,0,0,0,65476.0,1551,67521,3223.6666666666665,0.04923432504530922
10000,1,2,2,22,0,0,0,0,0,0,0,3793.5,-2574,6003,1204.5,0.31751680506128904
140000,2,2,1,37,0,0,0,0,0,0,0,64189.0,-10298,69802,3333.3333333333335,0.05192997761817965
40000,2,1,2,30,0,0,0,2,0,0,0,24530.833333333332,-10270,29197,2166.6666666666665,0.08832421782110948
210000,1,1,2,29,-2,-2,-2,-2,-2,-2,1,0.0,0,0,0.0,0.0
20000,2,1,2,22,0,0,2,-1,0,0,1,13221.333333333334,14028,16675,3345.8333333333335,0.25306323114158935
150000,2,4,2,46,0,0,-1,0,0,-2,1,1639.5,4463,4463,363.8333333333333,0.22191725119446984
380000,1,2,2,32,-1,-1,-1,-1,-1,-1,0,19135.833333333332,10528,32018,15555.333333333334,0.8128903017898359
20000,1,1,2,24,0,0,0,0,0,0,0,19301.666666666668,-2616,20480,1041.0,0.053933166393230286
70000,1,3,2,42,1,2,2,2,2,0,1,38168.666666666664,-2320,39423,1350.0,0.03536932562485809
